Event Head; Event Num = 1
Packet Head; Packet Num = 0
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 7
Frame = 0; Sample 1 = 280; Sample 2 = 281
Frame = 1; Sample 1 = 282; Sample 2 = 283
Frame = 2; Sample 1 = 284; Sample 2 = 285
Frame = 3; Sample 1 = 286; Sample 2 = 287
Frame = 4; Sample 1 = 288; Sample 2 = 289
Frame = 5; Sample 1 = 290; Sample 2 = 291
Frame = 6; Sample 1 = 292; Sample 2 = 293
Frame = 7; Sample 1 = 294; Sample 2 = 295
Frame = 8; Sample 1 = 296; Sample 2 = 297
Frame = 9; Sample 1 = 298; Sample 2 = 299
Frame = 10; Sample 1 = 300; Sample 2 = 301
Frame = 11; Sample 1 = 302; Sample 2 = 303
Frame = 12; Sample 1 = 304; Sample 2 = 305
Frame = 13; Sample 1 = 306; Sample 2 = 307
Frame = 14; Sample 1 = 308; Sample 2 = 309
Frame = 15; Sample 1 = 310; Sample 2 = 311
Frame = 16; Sample 1 = 312; Sample 2 = 313
Frame = 17; Sample 1 = 314; Sample 2 = 315
Frame = 18; Sample 1 = 316; Sample 2 = 317
Frame = 19; Sample 1 = 318; Sample 2 = 319
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 8
Frame = 0; Sample 1 = 320; Sample 2 = 321
Frame = 1; Sample 1 = 322; Sample 2 = 323
Frame = 2; Sample 1 = 324; Sample 2 = 325
Frame = 3; Sample 1 = 326; Sample 2 = 327
